PID,TOTAL FC,TOTAL FD,AVG FD,neutral_fc,lemon_fc,fish_fc,neutral_fd,lemon_fd,fish_fd,neutral_avfd,lemon_avfd,fish_avfd
593,1996,1320864,582.5956899,1342,1996,1742,987098,1320864,1051592,589.96423,582.5956899,514.5814274
675,1742,1051592,514.5814274,2348,1443,857,1181945,1114076,801939,453.8773342,699.8436947,742.0069249
681,857,801939,742.0069249,1675,1683,1229,1091168,1218722,802606,555.0175418,550.7386556,578.2128061
477,1342,987098,589.96423,2293,1569,1433,1258598,1035838,892762,521.3725347,574.6721806,601.2039736
484,2348,1181945,453.8773342,1283,786,1030,874434,1788190,814308,472.1630392,6256.907552,547.3671197
446,1675,1091168,555.0175418,1302,1706,833,584065,1284030,729188,384.6118885,667.7876112,400.1167122
620,1229,802606,578.2128061,35,565,1218,3898187,413924,1517773,143321.6694,613.9304755,1701.083557
629,1433,892762,601.2039736,1052,1694,1320,673905,2143726,1032614,520.5259363,3727.65758,837.5724
616,1030,814308,547.3671197,1376,1238,750,1957348,1011543,619689,2201.459006,660.1257166,715.9858746
430,2293,1258598,521.3725347,2296,2068,1550,1008451,1933558,1231751,342.4980118,1202.32475,613.7085562
660,833,729188,400.1167122,,,,,,,,,
632,1218,1517773,1701.083557,,,,,,,,,
659,1320,1032614,837.5724,,,,,,,,,
462,1283,874434,472.1630392,,,,,,,,,
572,1443,1114076,699.8436947,,,,,,,,,
588,1683,1218722,550.7386556,,,,,,,,,
536,1569,1035838,574.6721806,,,,,,,,,
591,786,1788190,6256.907552,,,,,,,,,
553,1706,1284030,667.7876112,,,,,,,,,
421,1302,584065,384.6118885,,,,,,,,,
443,35,3898187,143321.6694,,,,,,,,,
488,1052,673905,520.5259363,,,,,,,,,
418,1376,1957348,2201.459006,,,,,,,,,
648,750,619689,715.9858746,,,,,,,,,
493,2296,1008451,342.4980118,,,,,,,,,
601,1550,1231751,613.7085562,,,,,,,,,
540,565,413924,613.9304755,,,,,,,,,
513,1694,2143726,3727.65758,,,,,,,,,
546,1238,1011543,660.1257166,,,,,,,,,
584,2068,1933558,1202.32475,,,,,,,,,